onset	duration	trial	value	instruction
9476	6	1	1	rest
15422	1	1	2	ready
16433	6	1	3	task
22383	8	1	4	interval
30436	6	2	1	rest
36399	1	2	2	ready
37416	6	2	3	task
43376	8	2	4	interval
51441	6	3	1	rest
57403	1	3	2	ready
58435	6	3	3	task
64375	8	3	4	interval
72442	6	4	1	rest
78408	1	4	2	ready
79416	6	4	3	task
85382	8	4	4	interval
93439	6	5	1	rest
99408	1	5	2	ready
100425	6	5	3	task
106386	8	5	4	interval
114439	6	6	1	rest
120414	1	6	2	ready
121427	6	6	3	task
127381	8	6	4	interval
135441	6	7	1	rest
141407	1	7	2	ready
142429	6	7	3	task
148377	8	7	4	interval
156449	6	8	1	rest
162424	1	8	2	ready
163443	6	8	3	task
169386	8	8	4	interval
177449	6	9	1	rest
183410	1	9	2	ready
184419	6	9	3	task
190381	8	9	4	interval
198455	6	10	1	rest
204434	1	10	2	ready
205423	6	10	3	task
211398	8	10	4	interval
219453	6	11	1	rest
225441	1	11	2	ready
226430	6	11	3	task
232390	8	11	4	interval
240457	6	12	1	rest
246439	1	12	2	ready
247451	6	12	3	task
253393	8	12	4	interval
261460	6	13	1	rest
267417	1	13	2	ready
268432	6	13	3	task
274397	8	13	4	interval
282457	6	14	1	rest
288426	1	14	2	ready
289447	6	14	3	task
295393	8	14	4	interval
303462	6	15	1	rest
309429	1	15	2	ready
310434	6	15	3	task
316405	8	15	4	interval
324467	6	16	1	rest
330460	1	16	2	ready
331444	6	16	3	task
337406	8	16	4	interval
345471	6	17	1	rest
351463	1	17	2	ready
352450	6	17	3	task
358409	8	17	4	interval
366473	6	18	1	rest
372459	1	18	2	ready
373460	6	18	3	task
379409	8	18	4	interval
387475	6	19	1	rest
393439	1	19	2	ready
394472	6	19	3	task
400412	8	19	4	interval
408482	6	20	1	rest
414473	1	20	2	ready
415460	6	20	3	task
421411	8	20	4	interval
