onset	duration	trial	value	instruction
10987	6	1	1	rest
16887	1	1	2	ready
17896	6	1	3	task
23839	8	1	4	interval
31922	6	2	1	rest
37887	1	2	2	ready
38897	6	2	3	task
44845	8	2	4	interval
52920	6	3	1	rest
58902	1	3	2	ready
59895	6	3	3	task
65840	8	3	4	interval
73923	6	4	1	rest
79901	1	4	2	ready
80893	6	4	3	task
86839	8	4	4	interval
94931	6	5	1	rest
100902	1	5	2	ready
101903	6	5	3	task
107855	8	5	4	interval
115930	6	6	1	rest
121907	1	6	2	ready
122906	6	6	3	task
128856	8	6	4	interval
136933	6	7	1	rest
142912	1	7	2	ready
143917	6	7	3	task
149860	8	7	4	interval
157941	6	8	1	rest
163900	1	8	2	ready
164910	6	8	3	task
170855	8	8	4	interval
178937	6	9	1	rest
184905	1	9	2	ready
185920	6	9	3	task
191855	8	9	4	interval
199940	6	10	1	rest
205909	1	10	2	ready
206913	6	10	3	task
212856	8	10	4	interval
220944	6	11	1	rest
226906	1	11	2	ready
227918	6	11	3	task
233861	8	11	4	interval
241947	6	12	1	rest
247908	1	12	2	ready
248916	6	12	3	task
254870	8	12	4	interval
262949	6	13	1	rest
268911	1	13	2	ready
269919	6	13	3	task
275868	8	13	4	interval
283947	6	14	1	rest
289921	1	14	2	ready
290915	6	14	3	task
296859	8	14	4	interval
304946	6	15	1	rest
310914	1	15	2	ready
311916	6	15	3	task
317865	8	15	4	interval
325956	6	16	1	rest
331935	1	16	2	ready
332930	6	16	3	task
338873	8	16	4	interval
346959	6	17	1	rest
352916	1	17	2	ready
353926	6	17	3	task
359876	8	17	4	interval
367960	6	18	1	rest
373932	1	18	2	ready
374933	6	18	3	task
380880	8	18	4	interval
388971	6	19	1	rest
394934	1	19	2	ready
395934	6	19	3	task
401893	8	19	4	interval
409975	6	20	1	rest
415936	1	20	2	ready
416955	6	20	3	task
422889	8	20	4	interval
