onset	duration	trial	value	instruction
5661	6	1	1	rest
11594	1	1	2	ready
12590	6	1	3	task
18552	8	1	4	interval
26610	6	2	1	rest
32607	1	2	2	ready
33606	6	2	3	task
39548	8	2	4	interval
47605	6	3	1	rest
53575	1	3	2	ready
54649	6	3	3	task
60550	8	3	4	interval
68605	6	4	1	rest
74601	1	4	2	ready
75585	6	4	3	task
81575	8	4	4	interval
89612	6	5	1	rest
95596	1	5	2	ready
96583	6	5	3	task
102557	8	5	4	interval
110610	6	6	1	rest
116600	1	6	2	ready
117609	6	6	3	task
123545	8	6	4	interval
131617	6	7	1	rest
137599	1	7	2	ready
138588	6	7	3	task
144553	8	7	4	interval
152613	6	8	1	rest
158607	1	8	2	ready
159604	6	8	3	task
165552	8	8	4	interval
173621	6	9	1	rest
179584	1	9	2	ready
180616	6	9	3	task
186560	8	9	4	interval
194626	6	10	1	rest
200620	1	10	2	ready
201595	6	10	3	task
207562	8	10	4	interval
215626	6	11	1	rest
221590	1	11	2	ready
222599	6	11	3	task
228565	8	11	4	interval
236625	6	12	1	rest
242614	1	12	2	ready
243599	6	12	3	task
249561	8	12	4	interval
257627	6	13	1	rest
263594	1	13	2	ready
264596	6	13	3	task
270561	8	13	4	interval
278632	6	14	1	rest
284621	1	14	2	ready
285620	6	14	3	task
291571	8	14	4	interval
299639	6	15	1	rest
305620	1	15	2	ready
306640	6	15	3	task
312574	8	15	4	interval
320644	6	16	1	rest
326618	1	16	2	ready
327637	6	16	3	task
333575	8	16	4	interval
341641	6	17	1	rest
347617	1	17	2	ready
348627	6	17	3	task
354579	8	17	4	interval
362643	6	18	1	rest
368626	1	18	2	ready
369639	6	18	3	task
375586	8	18	4	interval
383644	6	19	1	rest
389636	1	19	2	ready
390628	6	19	3	task
396582	8	19	4	interval
404650	6	20	1	rest
410639	1	20	2	ready
411627	6	20	3	task
417588	8	20	4	interval
