onset	duration	trial	value	instruction
6055	6	1	1	rest
12009	1	1	2	ready
13007	6	1	3	task
18998	8	1	4	interval
27040	6	2	1	rest
32999	1	2	2	ready
34012	6	2	3	task
40016	8	2	4	interval
48053	6	3	1	rest
54025	1	3	2	ready
55039	6	3	3	task
61020	8	3	4	interval
69046	6	4	1	rest
75006	1	4	2	ready
76012	6	4	3	task
82008	8	4	4	interval
90052	6	5	1	rest
96011	1	5	2	ready
97018	6	5	3	task
103031	8	5	4	interval
111055	6	6	1	rest
117011	1	6	2	ready
118019	6	6	3	task
124011	8	6	4	interval
132057	6	7	1	rest
138020	1	7	2	ready
139013	6	7	3	task
145039	8	7	4	interval
153052	6	8	1	rest
159035	1	8	2	ready
160028	6	8	3	task
166013	8	8	4	interval
174056	6	9	1	rest
180018	1	9	2	ready
181020	6	9	3	task
187019	8	9	4	interval
195057	6	10	1	rest
201027	1	10	2	ready
202022	6	10	3	task
208039	8	10	4	interval
216078	6	11	1	rest
222021	1	11	2	ready
223046	6	11	3	task
229054	8	11	4	interval
237068	6	12	1	rest
243034	1	12	2	ready
244026	6	12	3	task
250029	8	12	4	interval
258073	6	13	1	rest
264057	1	13	2	ready
265049	6	13	3	task
271050	8	13	4	interval
279072	6	14	1	rest
285037	1	14	2	ready
286045	6	14	3	task
292052	8	14	4	interval
300070	6	15	1	rest
306041	1	15	2	ready
307031	6	15	3	task
313059	8	15	4	interval
321072	6	16	1	rest
327059	1	16	2	ready
328058	6	16	3	task
334037	8	16	4	interval
342081	6	17	1	rest
348046	1	17	2	ready
349043	6	17	3	task
355058	8	17	4	interval
363084	6	18	1	rest
369041	1	18	2	ready
370058	6	18	3	task
376069	8	18	4	interval
384083	6	19	1	rest
390050	1	19	2	ready
391042	6	19	3	task
397040	8	19	4	interval
405081	6	20	1	rest
411042	1	20	2	ready
412061	6	20	3	task
418042	8	20	4	interval
