onset	duration	trial	value	instruction
7649	6	1	1	rest
13608	1	1	2	ready
14563	7	1	3	task
21247	7	1	4	interval
28596	6	2	1	rest
34577	1	2	2	ready
35591	7	2	3	task
42355	7	2	4	interval
49601	6	3	1	rest
55588	1	3	2	ready
56590	7	3	3	task
63352	7	3	4	interval
70601	6	4	1	rest
76589	1	4	2	ready
77593	7	4	3	task
84382	7	4	4	interval
91597	6	5	1	rest
97563	1	5	2	ready
98590	7	5	3	task
105280	7	5	4	interval
112598	6	6	1	rest
118588	1	6	2	ready
119585	7	6	3	task
126249	7	6	4	interval
133602	6	7	1	rest
139594	1	7	2	ready
140592	7	7	3	task
147413	7	7	4	interval
154606	6	8	1	rest
160603	1	8	2	ready
161606	7	8	3	task
168463	7	8	4	interval
175609	6	9	1	rest
181611	1	9	2	ready
182576	7	9	3	task
189289	7	9	4	interval
196611	6	10	1	rest
202597	1	10	2	ready
203602	7	10	3	task
210495	7	10	4	interval
217610	6	11	1	rest
223597	1	11	2	ready
224609	7	11	3	task
231449	7	11	4	interval
238615	6	12	1	rest
244599	1	12	2	ready
245592	7	12	3	task
252451	7	12	4	interval
259615	6	13	1	rest
265604	1	13	2	ready
266579	7	13	3	task
273183	7	13	4	interval
280612	6	14	1	rest
286612	1	14	2	ready
287616	7	14	3	task
294299	7	14	4	interval
301614	6	15	1	rest
307607	1	15	2	ready
308603	7	15	3	task
315299	7	15	4	interval
322623	6	16	1	rest
328616	1	16	2	ready
329625	7	16	3	task
336323	7	16	4	interval
343627	6	17	1	rest
349610	1	17	2	ready
350593	7	17	3	task
357255	7	17	4	interval
364623	6	18	1	rest
370592	1	18	2	ready
371607	7	18	3	task
378316	7	18	4	interval
385638	6	19	1	rest
391613	1	19	2	ready
392632	7	19	3	task
399330	7	19	4	interval
406637	6	20	1	rest
412638	1	20	2	ready
413632	7	20	3	task
420327	7	20	4	interval
