onset	duration	trial	value	instruction
7414	6	1	1	rest
13335	1	1	2	ready
14317	7	1	3	task
20977	7	1	4	interval
28355	6	2	1	rest
34315	1	2	2	ready
35324	7	2	3	task
41998	7	2	4	interval
49354	6	3	1	rest
55348	1	3	2	ready
56346	7	3	3	task
63027	7	3	4	interval
70359	6	4	1	rest
76351	1	4	2	ready
77326	7	4	3	task
83993	7	4	4	interval
91361	6	5	1	rest
97348	1	5	2	ready
98353	7	5	3	task
105026	7	5	4	interval
112370	6	6	1	rest
118357	1	6	2	ready
119342	7	6	3	task
126029	7	6	4	interval
133369	6	7	1	rest
139367	1	7	2	ready
140370	7	7	3	task
147049	7	7	4	interval
154387	6	8	1	rest
160337	1	8	2	ready
161363	7	8	3	task
168082	7	8	4	interval
175377	6	9	1	rest
181365	1	9	2	ready
182351	7	9	3	task
188972	7	9	4	interval
196377	6	10	1	rest
202363	1	10	2	ready
203346	7	10	3	task
210236	7	10	4	interval
217384	6	11	1	rest
223377	1	11	2	ready
224345	7	11	3	task
230992	7	11	4	interval
238384	6	12	1	rest
244375	1	12	2	ready
245377	7	12	3	task
252037	7	12	4	interval
259384	6	13	1	rest
265352	1	13	2	ready
266376	7	13	3	task
273085	7	13	4	interval
280390	6	14	1	rest
286353	1	14	2	ready
287383	7	14	3	task
294027	7	14	4	interval
301399	6	15	1	rest
307383	1	15	2	ready
308383	7	15	3	task
315093	7	15	4	interval
322395	6	16	1	rest
328383	1	16	2	ready
329361	7	16	3	task
336030	7	16	4	interval
343390	6	17	1	rest
349362	1	17	2	ready
350378	7	17	3	task
357097	7	17	4	interval
364396	6	18	1	rest
370361	1	18	2	ready
371387	7	18	3	task
378284	7	18	4	interval
385397	6	19	1	rest
391361	1	19	2	ready
392391	7	19	3	task
399100	7	19	4	interval
406397	6	20	1	rest
412384	1	20	2	ready
413377	7	20	3	task
420111	7	20	4	interval
