onset	duration	trial	value	instruction
5530	6	1	1	rest
11469	1	1	2	ready
12482	6	1	3	task
18418	8	1	4	interval
26506	6	2	1	rest
32467	1	2	2	ready
33482	6	2	3	task
39421	8	2	4	interval
47505	6	3	1	rest
53491	1	3	2	ready
54480	6	3	3	task
60424	8	3	4	interval
68512	6	4	1	rest
74480	1	4	2	ready
75480	6	4	3	task
81423	8	4	4	interval
89513	6	5	1	rest
95478	1	5	2	ready
96481	6	5	3	task
102429	8	5	4	interval
110511	6	6	1	rest
116472	1	6	2	ready
117476	6	6	3	task
123432	8	6	4	interval
131510	6	7	1	rest
137489	1	7	2	ready
138483	6	7	3	task
144430	8	7	4	interval
152510	6	8	1	rest
158487	1	8	2	ready
159490	6	8	3	task
165435	8	8	4	interval
173516	6	9	1	rest
179487	1	9	2	ready
180489	6	9	3	task
186439	8	9	4	interval
194521	6	10	1	rest
200485	1	10	2	ready
201495	6	10	3	task
207440	8	10	4	interval
215515	6	11	1	rest
221488	1	11	2	ready
222497	6	11	3	task
228438	8	11	4	interval
236529	6	12	1	rest
242496	1	12	2	ready
243502	6	12	3	task
249441	8	12	4	interval
257530	6	13	1	rest
263497	1	13	2	ready
264508	6	13	3	task
270450	8	13	4	interval
278531	6	14	1	rest
284502	1	14	2	ready
285521	6	14	3	task
291457	8	14	4	interval
299532	6	15	1	rest
305504	1	15	2	ready
306497	6	15	3	task
312454	8	15	4	interval
320541	6	16	1	rest
326502	1	16	2	ready
327505	6	16	3	task
333453	8	16	4	interval
341533	6	17	1	rest
347499	1	17	2	ready
348509	6	17	3	task
354460	8	17	4	interval
362538	6	18	1	rest
368506	1	18	2	ready
369516	6	18	3	task
375460	8	18	4	interval
383542	6	19	1	rest
389512	1	19	2	ready
390515	6	19	3	task
396460	8	19	4	interval
404534	6	20	1	rest
410504	1	20	2	ready
411509	6	20	3	task
417454	8	20	4	interval
