onset	duration	trial	value	instruction
5615	6	1	1	rest
11576	1	1	2	ready
12578	6	1	3	task
18524	8	1	4	interval
26592	6	2	1	rest
32585	1	2	2	ready
33584	6	2	3	task
39523	8	2	4	interval
47588	6	3	1	rest
53552	1	3	2	ready
54583	6	3	3	task
60529	8	3	4	interval
68596	6	4	1	rest
74586	1	4	2	ready
75589	6	4	3	task
81535	8	4	4	interval
89599	6	5	1	rest
95589	1	5	2	ready
96578	6	5	3	task
102536	8	5	4	interval
110595	6	6	1	rest
116589	1	6	2	ready
117590	6	6	3	task
123540	8	6	4	interval
131600	6	7	1	rest
137596	1	7	2	ready
138597	6	7	3	task
144539	8	7	4	interval
152609	6	8	1	rest
158587	1	8	2	ready
159607	6	8	3	task
165542	8	8	4	interval
173610	6	9	1	rest
179578	1	9	2	ready
180596	6	9	3	task
186547	8	9	4	interval
194615	6	10	1	rest
200598	1	10	2	ready
201584	6	10	3	task
207556	8	10	4	interval
215629	6	11	1	rest
221626	1	11	2	ready
222600	6	11	3	task
228560	8	11	4	interval
236626	6	12	1	rest
242606	1	12	2	ready
243596	6	12	3	task
249552	8	12	4	interval
257629	6	13	1	rest
263614	1	13	2	ready
264636	6	13	3	task
270566	8	13	4	interval
278627	6	14	1	rest
284611	1	14	2	ready
285621	6	14	3	task
291567	8	14	4	interval
299634	6	15	1	rest
305613	1	15	2	ready
306605	6	15	3	task
312567	8	15	4	interval
320632	6	16	1	rest
326618	1	16	2	ready
327632	6	16	3	task
333573	8	16	4	interval
341638	6	17	1	rest
347602	1	17	2	ready
348630	6	17	3	task
354587	8	17	4	interval
362637	6	18	1	rest
368617	1	18	2	ready
369634	6	18	3	task
375571	8	18	4	interval
383645	6	19	1	rest
389625	1	19	2	ready
390639	6	19	3	task
396582	8	19	4	interval
404642	6	20	1	rest
410631	1	20	2	ready
411633	6	20	3	task
417586	8	20	4	interval
