onset	duration	trial	value	instruction
5437	6	1	1	rest
11347	1	1	2	ready
12339	6	1	3	task
18287	8	1	4	interval
26371	6	2	1	rest
32348	1	2	2	ready
33343	6	2	3	task
39292	8	2	4	interval
47376	6	3	1	rest
53341	1	3	2	ready
54347	6	3	3	task
60294	8	3	4	interval
68378	6	4	1	rest
74358	1	4	2	ready
75355	6	4	3	task
81292	8	4	4	interval
89376	6	5	1	rest
95362	1	5	2	ready
96359	6	5	3	task
102294	8	5	4	interval
110379	6	6	1	rest
116349	1	6	2	ready
117349	6	6	3	task
123293	8	6	4	interval
131377	6	7	1	rest
137357	1	7	2	ready
138365	6	7	3	task
144296	8	7	4	interval
152375	6	8	1	rest
158359	1	8	2	ready
159352	6	8	3	task
165292	8	8	4	interval
173379	6	9	1	rest
179348	1	9	2	ready
180352	6	9	3	task
186291	8	9	4	interval
194382	6	10	1	rest
200353	1	10	2	ready
201357	6	10	3	task
207296	8	10	4	interval
215384	6	11	1	rest
221351	1	11	2	ready
222358	6	11	3	task
228289	8	11	4	interval
236382	6	12	1	rest
242358	1	12	2	ready
243355	6	12	3	task
249298	8	12	4	interval
257393	6	13	1	rest
263365	1	13	2	ready
264372	6	13	3	task
270305	8	13	4	interval
278393	6	14	1	rest
284369	1	14	2	ready
285374	6	14	3	task
291311	8	14	4	interval
299403	6	15	1	rest
305367	1	15	2	ready
306368	6	15	3	task
312312	8	15	4	interval
320407	6	16	1	rest
326378	1	16	2	ready
327380	6	16	3	task
333324	8	16	4	interval
341403	6	17	1	rest
347382	1	17	2	ready
348383	6	17	3	task
354319	8	17	4	interval
362410	6	18	1	rest
368384	1	18	2	ready
369392	6	18	3	task
375325	8	18	4	interval
383414	6	19	1	rest
389389	1	19	2	ready
390385	6	19	3	task
396326	8	19	4	interval
404418	6	20	1	rest
410383	1	20	2	ready
411383	6	20	3	task
417329	8	20	4	interval
