onset	duration	trial	value	instruction
5359	6	1	1	rest
11302	1	1	2	ready
12297	6	1	3	task
18304	8	1	4	interval
26333	6	2	1	rest
32302	1	2	2	ready
33300	6	2	3	task
39301	8	2	4	interval
47333	6	3	1	rest
53296	1	3	2	ready
54302	6	3	3	task
60303	8	3	4	interval
68341	6	4	1	rest
74300	1	4	2	ready
75307	6	4	3	task
81306	8	4	4	interval
89340	6	5	1	rest
95322	1	5	2	ready
96303	6	5	3	task
102300	8	5	4	interval
110336	6	6	1	rest
116310	1	6	2	ready
117302	6	6	3	task
123310	8	6	4	interval
131342	6	7	1	rest
137319	1	7	2	ready
138318	6	7	3	task
144310	8	7	4	interval
152348	6	8	1	rest
158314	1	8	2	ready
159316	6	8	3	task
165313	8	8	4	interval
173349	6	9	1	rest
179330	1	9	2	ready
180319	6	9	3	task
186319	8	9	4	interval
194347	6	10	1	rest
200319	1	10	2	ready
201319	6	10	3	task
207320	8	10	4	interval
215352	6	11	1	rest
221328	1	11	2	ready
222334	6	11	3	task
228327	8	11	4	interval
236355	6	12	1	rest
242326	1	12	2	ready
243317	6	12	3	task
249314	8	12	4	interval
257355	6	13	1	rest
263327	1	13	2	ready
264321	6	13	3	task
270329	8	13	4	interval
278358	6	14	1	rest
284324	1	14	2	ready
285329	6	14	3	task
291325	8	14	4	interval
299364	6	15	1	rest
305336	1	15	2	ready
306330	6	15	3	task
312335	8	15	4	interval
320360	6	16	1	rest
326331	1	16	2	ready
327331	6	16	3	task
333340	8	16	4	interval
341366	6	17	1	rest
347345	1	17	2	ready
348334	6	17	3	task
354329	8	17	4	interval
362370	6	18	1	rest
368344	1	18	2	ready
369326	6	18	3	task
375342	8	18	4	interval
383369	6	19	1	rest
389339	1	19	2	ready
390337	6	19	3	task
396340	8	19	4	interval
404372	6	20	1	rest
410353	1	20	2	ready
411344	6	20	3	task
417344	8	20	4	interval
