onset	duration	trial	value	instruction
41054	6	1	1	rest
47029	1	1	2	ready
48021	6	1	3	task
53971	8	1	4	interval
62034	6	2	1	rest
67998	1	2	2	ready
69030	6	2	3	task
74970	8	2	4	interval
83037	6	3	1	rest
89015	1	3	2	ready
90010	6	3	3	task
95970	8	3	4	interval
104037	6	4	1	rest
110034	1	4	2	ready
111021	6	4	3	task
116973	8	4	4	interval
125045	6	5	1	rest
131023	1	5	2	ready
132034	6	5	3	task
137980	8	5	4	interval
146038	6	6	1	rest
152004	1	6	2	ready
153027	6	6	3	task
158974	8	6	4	interval
167040	6	7	1	rest
173008	1	7	2	ready
174038	6	7	3	task
179977	8	7	4	interval
188044	6	8	1	rest
194037	1	8	2	ready
195042	6	8	3	task
200987	8	8	4	interval
209049	6	9	1	rest
215033	1	9	2	ready
216056	6	9	3	task
221992	8	9	4	interval
230056	6	10	1	rest
236040	1	10	2	ready
237058	6	10	3	task
242990	8	10	4	interval
251056	6	11	1	rest
257018	1	11	2	ready
258036	6	11	3	task
263993	8	11	4	interval
272062	6	12	1	rest
278025	1	12	2	ready
279028	6	12	3	task
284995	8	12	4	interval
293058	6	13	1	rest
299037	1	13	2	ready
300057	6	13	3	task
305995	8	13	4	interval
314060	6	14	1	rest
320041	1	14	2	ready
321034	6	14	3	task
326998	8	14	4	interval
335061	6	15	1	rest
341049	1	15	2	ready
342057	6	15	3	task
348000	8	15	4	interval
356060	6	16	1	rest
362051	1	16	2	ready
363049	6	16	3	task
369000	8	16	4	interval
377071	6	17	1	rest
383047	1	17	2	ready
384050	6	17	3	task
389999	8	17	4	interval
398065	6	18	1	rest
404055	1	18	2	ready
405061	6	18	3	task
411002	8	18	4	interval
419099	6	19	1	rest
425033	1	19	2	ready
426059	6	19	3	task
431999	8	19	4	interval
440070	6	20	1	rest
446046	1	20	2	ready
447058	6	20	3	task
453007	8	20	4	interval
