onset	duration	trial	value	instruction
5327	6	1	1	rest
11277	1	1	2	ready
12282	6	1	3	task
18218	8	1	4	interval
26309	6	2	1	rest
32271	1	2	2	ready
33271	6	2	3	task
39217	8	2	4	interval
47315	6	3	1	rest
53297	1	3	2	ready
54287	6	3	3	task
60224	8	3	4	interval
68311	6	4	1	rest
74272	1	4	2	ready
75282	6	4	3	task
81220	8	4	4	interval
89314	6	5	1	rest
95283	1	5	2	ready
96285	6	5	3	task
102222	8	5	4	interval
110317	6	6	1	rest
116286	1	6	2	ready
117279	6	6	3	task
123243	8	6	4	interval
131315	6	7	1	rest
137288	1	7	2	ready
138285	6	7	3	task
144229	8	7	4	interval
152318	6	8	1	rest
158282	1	8	2	ready
159291	6	8	3	task
165242	8	8	4	interval
173319	6	9	1	rest
179285	1	9	2	ready
180296	6	9	3	task
186238	8	9	4	interval
194321	6	10	1	rest
200285	1	10	2	ready
201292	6	10	3	task
207243	8	10	4	interval
215321	6	11	1	rest
221294	1	11	2	ready
222295	6	11	3	task
228247	8	11	4	interval
236326	6	12	1	rest
242300	1	12	2	ready
243310	6	12	3	task
249247	8	12	4	interval
257331	6	13	1	rest
263297	1	13	2	ready
264301	6	13	3	task
270242	8	13	4	interval
278334	6	14	1	rest
284298	1	14	2	ready
285306	6	14	3	task
291243	8	14	4	interval
299334	6	15	1	rest
305303	1	15	2	ready
306312	6	15	3	task
312258	8	15	4	interval
320337	6	16	1	rest
326304	1	16	2	ready
327307	6	16	3	task
333250	8	16	4	interval
341340	6	17	1	rest
347321	1	17	2	ready
348323	6	17	3	task
354271	8	17	4	interval
362359	6	18	1	rest
368326	1	18	2	ready
369326	6	18	3	task
375259	8	18	4	interval
383356	6	19	1	rest
389323	1	19	2	ready
390337	6	19	3	task
396266	8	19	4	interval
404355	6	20	1	rest
410323	1	20	2	ready
411331	6	20	3	task
417268	8	20	4	interval
