onset	duration	trial	value	instruction
14960	6	1	1	rest
20902	1	1	2	ready
21910	6	1	3	task
27851	8	1	4	interval
35933	6	2	1	rest
41918	1	2	2	ready
42909	6	2	3	task
48844	8	2	4	interval
56943	6	3	1	rest
62917	1	3	2	ready
63922	6	3	3	task
69854	8	3	4	interval
77943	6	4	1	rest
83910	1	4	2	ready
84916	6	4	3	task
90857	8	4	4	interval
98951	6	5	1	rest
104918	1	5	2	ready
105918	6	5	3	task
111861	8	5	4	interval
119956	6	6	1	rest
125924	1	6	2	ready
126930	6	6	3	task
132872	8	6	4	interval
140961	6	7	1	rest
146931	1	7	2	ready
147933	6	7	3	task
153869	8	7	4	interval
161965	6	8	1	rest
167938	1	8	2	ready
168945	6	8	3	task
174885	8	8	4	interval
182962	6	9	1	rest
188939	1	9	2	ready
189946	6	9	3	task
195875	8	9	4	interval
203961	6	10	1	rest
209941	1	10	2	ready
210941	6	10	3	task
216876	8	10	4	interval
224973	6	11	1	rest
230942	1	11	2	ready
231943	6	11	3	task
237892	8	11	4	interval
245971	6	12	1	rest
251943	1	12	2	ready
252937	6	12	3	task
258891	8	12	4	interval
266972	6	13	1	rest
272944	1	13	2	ready
273941	6	13	3	task
279899	8	13	4	interval
287982	6	14	1	rest
293946	1	14	2	ready
294952	6	14	3	task
300889	8	14	4	interval
308987	6	15	1	rest
314962	1	15	2	ready
315958	6	15	3	task
321892	8	15	4	interval
329990	6	16	1	rest
335957	1	16	2	ready
336956	6	16	3	task
342899	8	16	4	interval
350991	6	17	1	rest
356955	1	17	2	ready
357961	6	17	3	task
363930	8	17	4	interval
371996	6	18	1	rest
377966	1	18	2	ready
378966	6	18	3	task
384910	8	18	4	interval
392996	6	19	1	rest
398976	1	19	2	ready
399970	6	19	3	task
405914	8	19	4	interval
414005	6	20	1	rest
419971	1	20	2	ready
420967	6	20	3	task
426918	8	20	4	interval
