onset	duration	trial	value	instruction
6212	6	1	1	rest
12140	1	1	2	ready
13146	6	1	3	task
19087	8	1	4	interval
27181	6	2	1	rest
33150	1	2	2	ready
34155	6	2	3	task
40101	8	2	4	interval
48186	6	3	1	rest
54146	1	3	2	ready
55161	6	3	3	task
61097	8	3	4	interval
69196	6	4	1	rest
75160	1	4	2	ready
76164	6	4	3	task
82099	8	4	4	interval
90197	6	5	1	rest
96162	1	5	2	ready
97158	6	5	3	task
103102	8	5	4	interval
111196	6	6	1	rest
117162	1	6	2	ready
118155	6	6	3	task
124102	8	6	4	interval
132199	6	7	1	rest
138163	1	7	2	ready
139170	6	7	3	task
145112	8	7	4	interval
153197	6	8	1	rest
159177	1	8	2	ready
160179	6	8	3	task
166106	8	8	4	interval
174199	6	9	1	rest
180169	1	9	2	ready
181168	6	9	3	task
187118	8	9	4	interval
195214	6	10	1	rest
201180	1	10	2	ready
202175	6	10	3	task
208122	8	10	4	interval
216214	6	11	1	rest
222181	1	11	2	ready
223193	6	11	3	task
229123	8	11	4	interval
237225	6	12	1	rest
243190	1	12	2	ready
244192	6	12	3	task
250136	8	12	4	interval
258220	6	13	1	rest
264191	1	13	2	ready
265206	6	13	3	task
271133	8	13	4	interval
279226	6	14	1	rest
285197	1	14	2	ready
286190	6	14	3	task
292134	8	14	4	interval
300238	6	15	1	rest
306196	1	15	2	ready
307220	6	15	3	task
313145	8	15	4	interval
321248	6	16	1	rest
327218	1	16	2	ready
328208	6	16	3	task
334140	8	16	4	interval
342240	6	17	1	rest
348223	1	17	2	ready
349203	6	17	3	task
355160	8	17	4	interval
363234	6	18	1	rest
369206	1	18	2	ready
370212	6	18	3	task
376152	8	18	4	interval
384249	6	19	1	rest
390232	1	19	2	ready
391216	6	19	3	task
397153	8	19	4	interval
405248	6	20	1	rest
411215	1	20	2	ready
412224	6	20	3	task
418157	8	20	4	interval
