onset	duration	trial	value	instruction
10037	6	1	1	rest
15970	1	1	2	ready
16981	6	1	3	task
22917	8	1	4	interval
31011	6	2	1	rest
36981	1	2	2	ready
37986	6	2	3	task
43919	8	2	4	interval
52011	6	3	1	rest
57979	1	3	2	ready
58979	6	3	3	task
64917	8	3	4	interval
73015	6	4	1	rest
78984	1	4	2	ready
79989	6	4	3	task
85929	8	4	4	interval
94022	6	5	1	rest
99986	1	5	2	ready
100996	6	5	3	task
106927	8	5	4	interval
115021	6	6	1	rest
120988	1	6	2	ready
121994	6	6	3	task
127932	8	6	4	interval
136030	6	7	1	rest
141996	1	7	2	ready
143007	6	7	3	task
148941	8	7	4	interval
157034	6	8	1	rest
163004	1	8	2	ready
164020	6	8	3	task
169940	8	8	4	interval
178038	6	9	1	rest
183996	1	9	2	ready
185017	6	9	3	task
190941	8	9	4	interval
199033	6	10	1	rest
205014	1	10	2	ready
206004	6	10	3	task
211941	8	10	4	interval
220035	6	11	1	rest
226005	1	11	2	ready
227007	6	11	3	task
232956	8	11	4	interval
241043	6	12	1	rest
247012	1	12	2	ready
248020	6	12	3	task
253968	8	12	4	interval
262046	6	13	1	rest
268012	1	13	2	ready
269016	6	13	3	task
274957	8	13	4	interval
283047	6	14	1	rest
289014	1	14	2	ready
290022	6	14	3	task
295953	8	14	4	interval
304047	6	15	1	rest
310023	1	15	2	ready
311027	6	15	3	task
316962	8	15	4	interval
325053	6	16	1	rest
331026	1	16	2	ready
332028	6	16	3	task
337961	8	16	4	interval
346051	6	17	1	rest
352027	1	17	2	ready
353028	6	17	3	task
358958	8	17	4	interval
367053	6	18	1	rest
373026	1	18	2	ready
374037	6	18	3	task
379967	8	18	4	interval
388053	6	19	1	rest
394020	1	19	2	ready
395044	6	19	3	task
400962	8	19	4	interval
409053	6	20	1	rest
415029	1	20	2	ready
416022	6	20	3	task
421966	8	20	4	interval
