onset	duration	trial	value	instruction
8045	6	1	1	rest
14005	1	1	2	ready
15013	7	1	3	task
21976	7	1	4	interval
29014	6	2	1	rest
35006	1	2	2	ready
35976	7	2	3	task
42663	7	2	4	interval
50018	6	3	1	rest
55987	1	3	2	ready
56989	7	3	3	task
63644	7	3	4	interval
71021	6	4	1	rest
77005	1	4	2	ready
77980	7	4	3	task
84690	7	4	4	interval
92020	6	5	1	rest
98013	1	5	2	ready
98994	7	5	3	task
105610	7	5	4	interval
113021	6	6	1	rest
118984	1	6	2	ready
120005	7	6	3	task
126661	7	6	4	interval
134022	6	7	1	rest
139988	1	7	2	ready
141014	7	7	3	task
147661	7	7	4	interval
155025	6	8	1	rest
161017	1	8	2	ready
162015	7	8	3	task
168675	7	8	4	interval
176024	6	9	1	rest
182021	1	9	2	ready
183028	7	9	3	task
189942	7	9	4	interval
197035	6	10	1	rest
203030	1	10	2	ready
204027	7	10	3	task
210731	7	10	4	interval
218032	6	11	1	rest
224029	1	11	2	ready
225032	7	11	3	task
231699	7	11	4	interval
239039	6	12	1	rest
245024	1	12	2	ready
246036	7	12	3	task
252674	7	12	4	interval
260038	6	13	1	rest
266022	1	13	2	ready
267001	7	13	3	task
273677	7	13	4	interval
281037	6	14	1	rest
287035	1	14	2	ready
288034	7	14	3	task
295012	7	14	4	interval
302040	6	15	1	rest
308029	1	15	2	ready
309033	7	15	3	task
315946	7	15	4	interval
323054	6	16	1	rest
329047	1	16	2	ready
330054	7	16	3	task
336997	7	16	4	interval
344052	6	17	1	rest
350017	1	17	2	ready
351035	7	17	3	task
357669	7	17	4	interval
365053	6	18	1	rest
371043	1	18	2	ready
372045	7	18	3	task
378746	7	18	4	interval
386058	6	19	1	rest
392043	1	19	2	ready
393052	7	19	3	task
399749	7	19	4	interval
407053	6	20	1	rest
413058	1	20	2	ready
414058	7	20	3	task
420696	7	20	4	interval
