onset	duration	trial	value	instruction
9451	6	1	1	rest
15387	1	1	2	ready
16391	6	1	3	task
22332	8	1	4	interval
30414	6	2	1	rest
36382	1	2	2	ready
37387	6	2	3	task
43337	8	2	4	interval
51423	6	3	1	rest
57389	1	3	2	ready
58400	6	3	3	task
64342	8	3	4	interval
72427	6	4	1	rest
78407	1	4	2	ready
79401	6	4	3	task
85349	8	4	4	interval
93426	6	5	1	rest
99391	1	5	2	ready
100393	6	5	3	task
106348	8	5	4	interval
114429	6	6	1	rest
120400	1	6	2	ready
121406	6	6	3	task
127353	8	6	4	interval
135434	6	7	1	rest
141400	1	7	2	ready
142406	6	7	3	task
148357	8	7	4	interval
156430	6	8	1	rest
162412	1	8	2	ready
163417	6	8	3	task
169355	8	8	4	interval
177436	6	9	1	rest
183413	1	9	2	ready
184410	6	9	3	task
190362	8	9	4	interval
198440	6	10	1	rest
204410	1	10	2	ready
205409	6	10	3	task
211368	8	10	4	interval
219441	6	11	1	rest
225406	1	11	2	ready
226415	6	11	3	task
232357	8	11	4	interval
240443	6	12	1	rest
246412	1	12	2	ready
247413	6	12	3	task
253374	8	12	4	interval
261446	6	13	1	rest
267415	1	13	2	ready
268424	6	13	3	task
274369	8	13	4	interval
282445	6	14	1	rest
288421	1	14	2	ready
289424	6	14	3	task
295365	8	14	4	interval
303468	6	15	1	rest
309416	1	15	2	ready
310429	6	15	3	task
316373	8	15	4	interval
324463	6	16	1	rest
330427	1	16	2	ready
331432	6	16	3	task
337381	8	16	4	interval
345461	6	17	1	rest
351435	1	17	2	ready
352433	6	17	3	task
358381	8	17	4	interval
366467	6	18	1	rest
372438	1	18	2	ready
373445	6	18	3	task
379385	8	18	4	interval
387464	6	19	1	rest
393437	1	19	2	ready
394440	6	19	3	task
400383	8	19	4	interval
408478	6	20	1	rest
414435	1	20	2	ready
415445	6	20	3	task
421384	8	20	4	interval
