onset	duration	trial	value	instruction
12315	6	1	1	rest
18101	1	1	2	ready
19062	6	1	3	task
25076	8	1	4	interval
33116	6	2	1	rest
39068	1	2	2	ready
40032	6	2	3	task
46009	8	2	4	interval
54056	6	3	1	rest
60029	1	3	2	ready
61025	6	3	3	task
67017	8	3	4	interval
75053	6	4	1	rest
81014	1	4	2	ready
82020	6	4	3	task
88029	8	4	4	interval
96059	6	5	1	rest
102024	1	5	2	ready
103025	6	5	3	task
109038	8	5	4	interval
117063	6	6	1	rest
123032	1	6	2	ready
124026	6	6	3	task
130029	8	6	4	interval
138071	6	7	1	rest
144033	1	7	2	ready
145034	6	7	3	task
151037	8	7	4	interval
159072	6	8	1	rest
165037	1	8	2	ready
166033	6	8	3	task
172044	8	8	4	interval
180081	6	9	1	rest
186057	1	9	2	ready
187049	6	9	3	task
193050	8	9	4	interval
201079	6	10	1	rest
207050	1	10	2	ready
208050	6	10	3	task
214043	8	10	4	interval
222079	6	11	1	rest
228036	1	11	2	ready
229043	6	11	3	task
235048	8	11	4	interval
243087	6	12	1	rest
249045	1	12	2	ready
250049	6	12	3	task
256049	8	12	4	interval
264085	6	13	1	rest
270060	1	13	2	ready
271045	6	13	3	task
277051	8	13	4	interval
285088	6	14	1	rest
291059	1	14	2	ready
292056	6	14	3	task
298061	8	14	4	interval
306093	6	15	1	rest
312063	1	15	2	ready
313063	6	15	3	task
319064	8	15	4	interval
327103	6	16	1	rest
333066	1	16	2	ready
334073	6	16	3	task
340072	8	16	4	interval
348105	6	17	1	rest
354068	1	17	2	ready
355066	6	17	3	task
361071	8	17	4	interval
369102	6	18	1	rest
375074	1	18	2	ready
376083	6	18	3	task
382072	8	18	4	interval
390107	6	19	1	rest
396088	1	19	2	ready
397074	6	19	3	task
403077	8	19	4	interval
411109	6	20	1	rest
417079	1	20	2	ready
418082	6	20	3	task
424074	8	20	4	interval
