onset	duration	trial	value	instruction
5123	6	1	1	rest
11062	1	1	2	ready
12075	6	1	3	task
18023	8	1	4	interval
26093	6	2	1	rest
32082	1	2	2	ready
33094	6	2	3	task
39021	8	2	4	interval
47102	6	3	1	rest
53065	1	3	2	ready
54092	6	3	3	task
60024	8	3	4	interval
68113	6	4	1	rest
74095	1	4	2	ready
75078	6	4	3	task
81028	8	4	4	interval
89103	6	5	1	rest
95080	1	5	2	ready
96100	6	5	3	task
102032	8	5	4	interval
110114	6	6	1	rest
116101	1	6	2	ready
117092	6	6	3	task
123029	8	6	4	interval
131106	6	7	1	rest
137075	1	7	2	ready
138099	6	7	3	task
144034	8	7	4	interval
152107	6	8	1	rest
158107	1	8	2	ready
159097	6	8	3	task
165039	8	8	4	interval
173115	6	9	1	rest
179105	1	9	2	ready
180090	6	9	3	task
186040	8	9	4	interval
194117	6	10	1	rest
200100	1	10	2	ready
201101	6	10	3	task
207041	8	10	4	interval
215117	6	11	1	rest
221102	1	11	2	ready
222089	6	11	3	task
228044	8	11	4	interval
236117	6	12	1	rest
242109	1	12	2	ready
243115	6	12	3	task
249041	8	12	4	interval
257122	6	13	1	rest
263110	1	13	2	ready
264123	6	13	3	task
270044	8	13	4	interval
278123	6	14	1	rest
284108	1	14	2	ready
285121	6	14	3	task
291045	8	14	4	interval
299124	6	15	1	rest
305123	1	15	2	ready
306126	6	15	3	task
312056	8	15	4	interval
320128	6	16	1	rest
326113	1	16	2	ready
327127	6	16	3	task
333057	8	16	4	interval
341125	6	17	1	rest
347121	1	17	2	ready
348122	6	17	3	task
354055	8	17	4	interval
362130	6	18	1	rest
368091	1	18	2	ready
369116	6	18	3	task
375057	8	18	4	interval
383130	6	19	1	rest
389124	1	19	2	ready
390113	6	19	3	task
396053	8	19	4	interval
404141	6	20	1	rest
410126	1	20	2	ready
411128	6	20	3	task
417054	8	20	4	interval
