onset	duration	trial	value	instruction
5376	6	1	1	rest
11323	1	1	2	ready
12337	6	1	3	task
18275	8	1	4	interval
26360	6	2	1	rest
32338	1	2	2	ready
33341	6	2	3	task
39280	8	2	4	interval
47354	6	3	1	rest
53344	1	3	2	ready
54327	6	3	3	task
60277	8	3	4	interval
68365	6	4	1	rest
74333	1	4	2	ready
75349	6	4	3	task
81285	8	4	4	interval
89363	6	5	1	rest
95339	1	5	2	ready
96350	6	5	3	task
102286	8	5	4	interval
110370	6	6	1	rest
116325	1	6	2	ready
117341	6	6	3	task
123287	8	6	4	interval
131377	6	7	1	rest
137334	1	7	2	ready
138339	6	7	3	task
144295	8	7	4	interval
152370	6	8	1	rest
158342	1	8	2	ready
159354	6	8	3	task
165298	8	8	4	interval
173372	6	9	1	rest
179344	1	9	2	ready
180343	6	9	3	task
186294	8	9	4	interval
194387	6	10	1	rest
200357	1	10	2	ready
201352	6	10	3	task
207295	8	10	4	interval
215385	6	11	1	rest
221349	1	11	2	ready
222353	6	11	3	task
228298	8	11	4	interval
236389	6	12	1	rest
242364	1	12	2	ready
243368	6	12	3	task
249307	8	12	4	interval
257398	6	13	1	rest
263376	1	13	2	ready
264354	6	13	3	task
270305	8	13	4	interval
278396	6	14	1	rest
284373	1	14	2	ready
285364	6	14	3	task
291316	8	14	4	interval
299395	6	15	1	rest
305369	1	15	2	ready
306371	6	15	3	task
312313	8	15	4	interval
320401	6	16	1	rest
326379	1	16	2	ready
327386	6	16	3	task
333318	8	16	4	interval
341398	6	17	1	rest
347372	1	17	2	ready
348386	6	17	3	task
354323	8	17	4	interval
362400	6	18	1	rest
368378	1	18	2	ready
369373	6	18	3	task
375317	8	18	4	interval
383405	6	19	1	rest
389373	1	19	2	ready
390382	6	19	3	task
396320	8	19	4	interval
404408	6	20	1	rest
410392	1	20	2	ready
411383	6	20	3	task
417333	8	20	4	interval
