name	x	y	z	impedance
E1	7.05836	-5.56273	-2.13833	11.700877543925
E2	7.94136	-5.334	0.2371	18.9368254494158
E3	8.61151	-4.257	2.77296	21.411654967093
E4	8.04222	-2.68245	5.31354	29.4314176592222
E5	6.33091	-1.63804	7.00984	21.7056115407667
E6	3.89585	-0	8.14682	11.9374495667146
E7	1.74142	1.41305	8.45875	27.4228458397166
E8	9.34083	-4.09179	-1.72351	15.6599789160023
E9	9.82549	-3.3556	0.750687	18.0447676676327
E10	9.61435	-2.39622	3.5151	31.9974946686405
E11	8.60698	-0	5.88719	19.5865819347037
E12	6.33091	1.63804	7.00984	12.2855979528444
E13	3.66109	2.67447	7.65927	19.2992501889879
E14	10.609	-1.984	-1.23837	30.1925203853525
E15	10.6507	-1.21058	1.24742	6.19583185693208
E16	10.1982	-0	3.52745	24.7948507070332
E17	10.5352	-0	-2.71023	6.44483867474335
E18	10.6507	1.21058	1.24742	7.6298477423014
E19	9.61435	2.39622	3.5151	17.2298748039501
E20	8.04222	2.68245	5.31354	14.2892240593427
E21	5.67672	3.7358	6.23543	7.70456542310364
E22	10.609	1.984	-1.23837	5.87167141154694
E23	9.82549	3.3556	0.750687	5.75283862291608
E24	8.61151	4.257	2.77296	8.72242751857573
E25	6.94583	4.72647	4.29259	4.69303542024587
E26	9.34083	4.09179	-1.72351	4.21499421178939
E27	7.94136	5.334	0.2371	11.1128607416623
E28	6.37719	5.88862	2.05983	21.4233445613246
E29	4.58172	6.08477	4.04119	14.5227624965418
E30	3.01496	5.17735	6.17561	11.4803234531254
E31	0.976844000000001	3.90573	7.58964	11.0249705339097
E32	-1.22344	2.28818	8.35468	3.55232634327441
E33	7.05836	5.56273	-2.13833	14.7017593296631
E34	5.66018	6.28567	-0.325478	17.3398649181436
E35	3.71219	6.93929	1.96627	9.09351130228585
E36	2.25109	6.96513	3.83809	9.21205181442871
E37	0.279191000000001	6.20327	5.88833	8.45179736486773
E38	-1.83783	4.74906	7.20099	12.3475768539283
E39	4.49436	6.56444	-3.36122	24.0740973294441
E40	2.65809	7.18868	-0.876653	37.6801735738435
E41	1.34926	7.57948	1.26836	32.2112818675097
E42	-0.164728000000003	7.53633	2.96011	9.2939760878923
E43	-2.56096	6.50984	5.22143	25.7734135026125
E44	3.02934	6.57111	-6.21266	27.6183520212312
E45	1.52278	7.03162	-3.42515	16.7097305656071
E46	0.234217000000001	7.56327	-1.09244	17.9361172301703
E47	-1.46741	7.60231	1.03584	10.7643617243763
E48	-2.81422	7.31578	2.60868	35.7409527464677
E49	0.835981000000001	6.85902	-6.60769	8.10732348701482
E50	-2.88101	7.34918	-1.38637	20.9747059478037
E51	-3.97624	7.07415	0.553357	12.5681020673871
E52	-4.94704	6.50248	3.10276	12.4413050619207
E53	-4.82594	5.07956	5.55724	9.36177461846682
E54	-4.19736	2.51032	7.58563	14.215159173252
E55	-3.20127	-3.92042505870645e-16	8.28249	15.7731670765509
E56	-3.59608	6.17315	-6.94128	16.0287646316584
E57	-4.02463	6.90343	-3.54669	24.3858952935897
E58	-5.20816	6.47645	-1.59903	5.47040941349841
E59	-6.31619	5.9853	0.766718	9.49034685578044
E60	-6.89084	4.81515	3.53716	7.29231096261924
E61	-6.50084	2.75579	5.69942	11.1674111330752
E62	-5.62431	-6.88779323891245e-16	7.10652	11.9389886750291
E63	-5.02163	5.39665	-6.61401	49.0171773621971
E64	-6.14775	5.86075	-3.4408	8.85686522793754
E65	-7.5274	4.9121	-1.54431	6.00348537411324
E66	-8.41313	3.9387	0.986116	11.3629745100869
