onset	duration	trial	value	instruction
6117	6	1	1	rest
12064	1	1	2	ready
13068	6	1	3	task
19008	8	1	4	interval
27103	6	2	1	rest
33076	1	2	2	ready
34082	6	2	3	task
40009	8	2	4	interval
48102	6	3	1	rest
54076	1	3	2	ready
55093	6	3	3	task
61025	8	3	4	interval
69102	6	4	1	rest
75071	1	4	2	ready
76083	6	4	3	task
82019	8	4	4	interval
90103	6	5	1	rest
96070	1	5	2	ready
97072	6	5	3	task
103016	8	5	4	interval
111104	6	6	1	rest
117072	1	6	2	ready
118081	6	6	3	task
124028	8	6	4	interval
132103	6	7	1	rest
138074	1	7	2	ready
139067	6	7	3	task
145020	8	7	4	interval
153103	6	8	1	rest
159072	1	8	2	ready
160073	6	8	3	task
166017	8	8	4	interval
174107	6	9	1	rest
180080	1	9	2	ready
181086	6	9	3	task
187024	8	9	4	interval
195107	6	10	1	rest
201094	1	10	2	ready
202082	6	10	3	task
208033	8	10	4	interval
216111	6	11	1	rest
222084	1	11	2	ready
223092	6	11	3	task
229028	8	11	4	interval
237113	6	12	1	rest
243080	1	12	2	ready
244087	6	12	3	task
250026	8	12	4	interval
258119	6	13	1	rest
264082	1	13	2	ready
265082	6	13	3	task
271034	8	13	4	interval
279119	6	14	1	rest
285085	1	14	2	ready
286085	6	14	3	task
292050	8	14	4	interval
300129	6	15	1	rest
306090	1	15	2	ready
307099	6	15	3	task
313036	8	15	4	interval
321122	6	16	1	rest
327094	1	16	2	ready
328105	6	16	3	task
334038	8	16	4	interval
342130	6	17	1	rest
348209	1	17	2	ready
349104	6	17	3	task
355053	8	17	4	interval
363134	6	18	1	rest
369095	1	18	2	ready
370102	6	18	3	task
376039	8	18	4	interval
384136	6	19	1	rest
390110	1	19	2	ready
391104	6	19	3	task
397043	8	19	4	interval
405131	6	20	1	rest
411101	1	20	2	ready
412104	6	20	3	task
418045	8	20	4	interval
