onset	duration	trial	value	instruction
13612	6	1	1	rest
19537	1	1	2	ready
20541	6	1	3	task
26550	8	1	4	interval
34575	6	2	1	rest
40536	1	2	2	ready
41560	6	2	3	task
47537	8	2	4	interval
55578	6	3	1	rest
61560	1	3	2	ready
62540	6	3	3	task
68559	8	3	4	interval
76587	6	4	1	rest
82572	1	4	2	ready
83551	6	4	3	task
89542	8	4	4	interval
97586	6	5	1	rest
103546	1	5	2	ready
104549	6	5	3	task
110544	8	5	4	interval
118594	6	6	1	rest
124550	1	6	2	ready
125565	6	6	3	task
131555	8	6	4	interval
139589	6	7	1	rest
145553	1	7	2	ready
146555	6	7	3	task
152554	8	7	4	interval
160590	6	8	1	rest
166559	1	8	2	ready
167559	6	8	3	task
173556	8	8	4	interval
181593	6	9	1	rest
187555	1	9	2	ready
188578	6	9	3	task
194555	8	9	4	interval
202596	6	10	1	rest
208558	1	10	2	ready
209565	6	10	3	task
215571	8	10	4	interval
223592	6	11	1	rest
229558	1	11	2	ready
230583	6	11	3	task
236583	8	11	4	interval
244601	6	12	1	rest
250570	1	12	2	ready
251557	6	12	3	task
257577	8	12	4	interval
265609	6	13	1	rest
271558	1	13	2	ready
272588	6	13	3	task
278577	8	13	4	interval
286605	6	14	1	rest
292580	1	14	2	ready
293580	6	14	3	task
299566	8	14	4	interval
307604	6	15	1	rest
313566	1	15	2	ready
314564	6	15	3	task
320578	8	15	4	interval
328603	6	16	1	rest
334571	1	16	2	ready
335584	6	16	3	task
341561	8	16	4	interval
349610	6	17	1	rest
355570	1	17	2	ready
356568	6	17	3	task
362583	8	17	4	interval
370607	6	18	1	rest
376589	1	18	2	ready
377566	6	18	3	task
383565	8	18	4	interval
391611	6	19	1	rest
397577	1	19	2	ready
398574	6	19	3	task
404569	8	19	4	interval
412615	6	20	1	rest
418577	1	20	2	ready
419572	6	20	3	task
425577	8	20	4	interval
