name	x	y	z	impedance
E1	7.05836	-5.56273	-2.13833	8.10710013043878
E2	7.94136	-5.334	0.2371	28.4038607878025
E3	8.61151	-4.257	2.77296	16.6790845562293
E4	8.04222	-2.68245	5.31354	17.2543255329239
E5	6.33091	-1.63804	7.00984	36.544499000878
E6	3.89585	-0	8.14682	21.9325803971602
E7	1.74142	1.41305	8.45875	11.2800652943549
E8	9.34083	-4.09179	-1.72351	18.2748142335193
E9	9.82549	-3.3556	0.750687	20.4242171207127
E10	9.61435	-2.39622	3.5151	8.00995542515178
E11	8.60698	-0	5.88719	28.5245464742144
E12	6.33091	1.63804	7.00984	43.9715419044335
E13	3.66109	2.67447	7.65927	21.234212787129
E14	10.609	-1.984	-1.23837	19.0713779094071
E15	10.6507	-1.21058	1.24742	26.4833094593685
E16	10.1982	-0	3.52745	17.3714960682433
E17	10.5352	-0	-2.71023	24.8539287610192
E18	10.6507	1.21058	1.24742	15.9698396014058
E19	9.61435	2.39622	3.5151	12.6961397891924
E20	8.04222	2.68245	5.31354	13.6159167672824
E21	5.67672	3.7358	6.23543	7.9446385558273
E22	10.609	1.984	-1.23837	7.51740256157845
E23	9.82549	3.3556	0.750687	9.18426553707214
E24	8.61151	4.257	2.77296	10.1854919661717
E25	6.94583	4.72647	4.29259	18.5170602648824
E26	9.34083	4.09179	-1.72351	9.31086184222013
E27	7.94136	5.334	0.2371	5.07796393797427
E28	6.37719	5.88862	2.05983	7.77984329582969
E29	4.58172	6.08477	4.04119	20.2998425852762
E30	3.01496	5.17735	6.17561	15.9536558305546
E31	0.976844000000001	3.90573	7.58964	11.5728288976957
E32	-1.22344	2.28818	8.35468	5.61829402057488
E33	7.05836	5.56273	-2.13833	5.87681887810132
E34	5.66018	6.28567	-0.325478	7.86350119229966
E35	3.71219	6.93929	1.96627	13.8351455487622
E36	2.25109	6.96513	3.83809	3.69285973897352
E37	0.279191000000001	6.20327	5.88833	16.4478695106371
E38	-1.83783	4.74906	7.20099	12.8861605794308
E39	4.49436	6.56444	-3.36122	4.85746426033273
E40	2.65809	7.18868	-0.876653	14.6082692018337
E41	1.34926	7.57948	1.26836	11.0100057235665
E42	-0.164728000000003	7.53633	2.96011	8.77886450332745
E43	-2.56096	6.50984	5.22143	9.96515442983029
E44	3.02934	6.57111	-6.21266	8.97533916795825
E45	1.52278	7.03162	-3.42515	11.2010820319113
E46	0.234217000000001	7.56327	-1.09244	9.87038036759229
E47	-1.46741	7.60231	1.03584	6.67669779863182
E48	-2.81422	7.31578	2.60868	15.1676544974091
E49	0.835981000000001	6.85902	-6.60769	37.5638498500911
E50	-2.88101	7.34918	-1.38637	11.3494394266853
E51	-3.97624	7.07415	0.553357	10.7959612565495
E52	-4.94704	6.50248	3.10276	10.3185515211163
E53	-4.82594	5.07956	5.55724	30.1922124403071
E54	-4.19736	2.51032	7.58563	43.6296760868004
E55	-3.20127	-3.92042505870645e-16	8.28249	23.2167188935536
E56	-3.59608	6.17315	-6.94128	7.89461470497506
E57	-4.02463	6.90343	-3.54669	17.1041703045551
E58	-5.20816	6.47645	-1.59903	26.7638062618301
E59	-6.31619	5.9853	0.766718	22.2169694697961
E60	-6.89084	4.81515	3.53716	20.7413710406867
E61	-6.50084	2.75579	5.69942	20.2278972213687
E62	-5.62431	-6.88779323891245e-16	7.10652	24.8955407357561
E63	-5.02163	5.39665	-6.61401	12.8371833639184
E64	-6.14775	5.86075	-3.4408	14.2577056653213
E65	-7.5274	4.9121	-1.54431	26.4516613379613
E66	-8.41313	3.9387	0.986116	28.1605693040686
E67	-8.20562	2.51978	3.5441	16.1972208970778
E68	-7.23943	-8.86574477715132e-16	5.62067	15.3468026086422
E69	-6.94455	4.02983	-6.30024	16.0311302100011
E70	-8.3235	3.70296	-3.37134	21.3339001856226
E71	-9.16834	2.84669000000001	-1.3147	14.0736749162443
E72	-9.32289	1.99322	1.02896	25.7391776456264
E73	-8.85649	-1.08460721301805e-15	2.83601	16.100152350039
E74	-8.43156	2.17486	-6.40705	41.7051175946987
E75	-9.09985	2.09545	-3.99044	29.8550784084874
E76	-9.70481	-1.18849645028332e-15	-0.946568	27.2123108523618
E77	-9.32289	-1.99322	1.02896	36.8355026765621
E78	-8.20562	-2.51978	3.5441	16.414762943101
E79	-6.50084	-2.75579	5.69942	21.7094598482975
E80	-4.19736	-2.51032	7.58563	20.689075776432
E81	-1.22344	-2.28818	8.35468	12.8062236754615
E82	-8.93823	-1.09461747595428e-15	-6.11277	16.7433913999609
E83	-9.10442	-2.09545	-3.65547	19.7475774977034
E84	-9.16834	-2.84669000000001	-1.3147	8.75973430778327
E85	-8.41313	-3.9387	0.986116	11.2339525922189
E86	-6.89084	-4.81515	3.53716	16.4850729371
E87	-4.82594	-5.07956	5.55724	10.0705923476979
E88	-1.83783	-4.74906	7.20099	18.5391162789174
E89	-8.43156	-2.17486	-6.40705	6.78814342343687
E90	-8.3235	-3.70296	-3.37134	13.5430511680931
E91	-7.5274	-4.9121	-1.54431	11.5758739897038
E92	-6.31619	-5.9853	0.766718	8.68359802711547
E93	-4.94704	-6.50248	3.10276	11.3539398439358
E94	-2.56096	-6.50984	5.22143	6.06062256168761
E95	-6.94455	-4.02983	-6.30024	13.6247755152027
E96	-6.14775	-5.86075	-3.4408	13.2792254706405
E97	-5.20816	-6.47645	-1.59903	12.7751312876122
E98	-3.97624	-7.07415	0.553357	7.61918071865837
E99	-2.81422	-7.31578	2.60868	9.8231740730298
E100	-5.02163	-5.39665	-6.61401	13.4857289929076
E101	-4.01898	-6.90343	-3.96056	11.8553853421519
E102	-2.88101	-7.34918	-1.38637	21.2883678833924
E103	-1.46741	-7.60231	1.03584	19.1803743850596
E104	-0.553802000000002	-7.53633	2.9548	12.622135875052
E105	0.279191000000001	-6.20327	5.88833	16.3112677737012
E106	0.976844000000001	-3.90573	7.58964	11.9031877427787
E107	1.74142	-1.41305	8.45875	19.6773655974188
E108	-3.59608	-6.17315	-6.94128	18.558560590654
E109	0.234217000000001	-7.56327	-1.09244	45.8127604144623
E110	1.34926	-7.57948	1.26836	28.9976056280485
E111	2.25109	-6.96513	3.83809	27.1554075607001
E112	3.01496	-5.17735	6.17561	15.4838010191981
E113	3.66109	-2.67447	7.65927	7.83987333672786
E114	0.835981000000001	-6.85902	-6.60769	23.8823412329348
E115	1.52278	-7.03162	-3.42515	46.3440049050143
E116	2.65809	-7.18868	-0.876653	17.5524131143419
E117	3.71219	-6.93929	1.96627	24.0175572690275
E118	4.58172	-6.08477	4.04119	27.1975719672436
E119	5.67672	-3.7358	6.23543	10.0514360682342
E120	3.02934	-6.57111	-6.21266	35.6334431796058
E121	4.49436	-6.56444	-3.36122	18.1540258708669
E122	5.66018	-6.28567	-0.325478	17.2175341707084
E123	6.37719	-5.88862	2.05983	18.5683667045917
E124	6.94583	-4.72647	4.29259	27.2833372857269
E125	5.54263	-5.99993	-5.73733	7.5994656991733
E126	7.17773	-3.34246	-8.08502	9.17018350074563
E127	7.17773	3.34246	-8.08502	10.7740369476149
E128	5.54263	5.99993	-5.73733	5.61353584485645
Cz	5.22390849554891e-16	0	8.53129	25.5667027669506
