onset	duration	trial	value	instruction
5952	6	1	1	rest
11852	1	1	2	ready
12853	6	1	3	task
18794	8	1	4	interval
26890	6	2	1	rest
32863	1	2	2	ready
33857	6	2	3	task
39802	8	2	4	interval
47898	6	3	1	rest
53861	1	3	2	ready
54867	6	3	3	task
60805	8	3	4	interval
68895	6	4	1	rest
74860	1	4	2	ready
75864	6	4	3	task
81815	8	4	4	interval
89906	6	5	1	rest
95869	1	5	2	ready
96881	6	5	3	task
102828	8	5	4	interval
110910	6	6	1	rest
116867	1	6	2	ready
117870	6	6	3	task
123825	8	6	4	interval
131907	6	7	1	rest
137876	1	7	2	ready
138896	6	7	3	task
144823	8	7	4	interval
152913	6	8	1	rest
158877	1	8	2	ready
159879	6	8	3	task
165818	8	8	4	interval
173916	6	9	1	rest
179881	1	9	2	ready
180879	6	9	3	task
186827	8	9	4	interval
194912	6	10	1	rest
200883	1	10	2	ready
201889	6	10	3	task
207822	8	10	4	interval
215929	6	11	1	rest
221889	1	11	2	ready
222887	6	11	3	task
228835	8	11	4	interval
236918	6	12	1	rest
242892	1	12	2	ready
243889	6	12	3	task
249835	8	12	4	interval
257921	6	13	1	rest
263897	1	13	2	ready
264896	6	13	3	task
270835	8	13	4	interval
278928	6	14	1	rest
284901	1	14	2	ready
285902	6	14	3	task
291839	8	14	4	interval
299933	6	15	1	rest
305897	1	15	2	ready
306902	6	15	3	task
312838	8	15	4	interval
320937	6	16	1	rest
326896	1	16	2	ready
327901	6	16	3	task
333852	8	16	4	interval
341927	6	17	1	rest
347897	1	17	2	ready
348900	6	17	3	task
354844	8	17	4	interval
362934	6	18	1	rest
368900	1	18	2	ready
369913	6	18	3	task
375842	8	18	4	interval
383949	6	19	1	rest
389919	1	19	2	ready
390920	6	19	3	task
396853	8	19	4	interval
404949	6	20	1	rest
410907	1	20	2	ready
411914	6	20	3	task
417850	8	20	4	interval
