onset	duration	trial	value	instruction
11078	6	1	1	rest
16985	1	1	2	ready
17982	6	1	3	task
23924	8	1	4	interval
32010	6	2	1	rest
37981	1	2	2	ready
38985	6	2	3	task
44929	8	2	4	interval
53017	6	3	1	rest
58978	1	3	2	ready
59983	6	3	3	task
65942	8	3	4	interval
74011	6	4	1	rest
79992	1	4	2	ready
80991	6	4	3	task
86929	8	4	4	interval
95018	6	5	1	rest
100990	1	5	2	ready
101995	6	5	3	task
107931	8	5	4	interval
116025	6	6	1	rest
121995	1	6	2	ready
123003	6	6	3	task
128949	8	6	4	interval
137033	6	7	1	rest
142999	1	7	2	ready
143997	6	7	3	task
149941	8	7	4	interval
158039	6	8	1	rest
164002	1	8	2	ready
165011	6	8	3	task
170944	8	8	4	interval
179039	6	9	1	rest
185013	1	9	2	ready
186012	6	9	3	task
191957	8	9	4	interval
200050	6	10	1	rest
206012	1	10	2	ready
207021	6	10	3	task
212951	8	10	4	interval
221039	6	11	1	rest
227008	1	11	2	ready
228019	6	11	3	task
233952	8	11	4	interval
242046	6	12	1	rest
248020	1	12	2	ready
249018	6	12	3	task
254961	8	12	4	interval
263049	6	13	1	rest
269014	1	13	2	ready
270034	6	13	3	task
275964	8	13	4	interval
284042	6	14	1	rest
290021	1	14	2	ready
291024	6	14	3	task
296962	8	14	4	interval
305055	6	15	1	rest
311024	1	15	2	ready
312029	6	15	3	task
317964	8	15	4	interval
326069	6	16	1	rest
332041	1	16	2	ready
333034	6	16	3	task
338969	8	16	4	interval
347063	6	17	1	rest
353025	1	17	2	ready
354035	6	17	3	task
359978	8	17	4	interval
368069	6	18	1	rest
374045	1	18	2	ready
375036	6	18	3	task
380978	8	18	4	interval
389072	6	19	1	rest
395045	1	19	2	ready
396044	6	19	3	task
401976	8	19	4	interval
410072	6	20	1	rest
416041	1	20	2	ready
417047	6	20	3	task
422981	8	20	4	interval
