onset	duration	trial	value	instruction
5471	6	1	1	rest
11393	1	1	2	ready
12399	6	1	3	task
18344	8	1	4	interval
26414	6	2	1	rest
32406	1	2	2	ready
33387	6	2	3	task
39334	8	2	4	interval
47412	6	3	1	rest
53398	1	3	2	ready
54390	6	3	3	task
60348	8	3	4	interval
68420	6	4	1	rest
74403	1	4	2	ready
75415	6	4	3	task
81338	8	4	4	interval
89425	6	5	1	rest
95408	1	5	2	ready
96421	6	5	3	task
102357	8	5	4	interval
110423	6	6	1	rest
116410	1	6	2	ready
117420	6	6	3	task
123352	8	6	4	interval
131424	6	7	1	rest
137392	1	7	2	ready
138400	6	7	3	task
144351	8	7	4	interval
152430	6	8	1	rest
158394	1	8	2	ready
159415	6	8	3	task
165354	8	8	4	interval
173436	6	9	1	rest
179403	1	9	2	ready
180430	6	9	3	task
186367	8	9	4	interval
194439	6	10	1	rest
200419	1	10	2	ready
201449	6	10	3	task
207365	8	10	4	interval
215445	6	11	1	rest
221425	1	11	2	ready
222440	6	11	3	task
228364	8	11	4	interval
236445	6	12	1	rest
242414	1	12	2	ready
243439	6	12	3	task
249373	8	12	4	interval
257443	6	13	1	rest
263414	1	13	2	ready
264435	6	13	3	task
270382	8	13	4	interval
278454	6	14	1	rest
284445	1	14	2	ready
285427	6	14	3	task
291379	8	14	4	interval
299454	6	15	1	rest
305450	1	15	2	ready
306429	6	15	3	task
312378	8	15	4	interval
320463	6	16	1	rest
326446	1	16	2	ready
327452	6	16	3	task
333397	8	16	4	interval
341464	6	17	1	rest
347451	1	17	2	ready
348433	6	17	3	task
354388	8	17	4	interval
362468	6	18	1	rest
368443	1	18	2	ready
369438	6	18	3	task
375387	8	18	4	interval
383466	6	19	1	rest
389434	1	19	2	ready
390440	6	19	3	task
396393	8	19	4	interval
404467	6	20	1	rest
410447	1	20	2	ready
411438	6	20	3	task
417393	8	20	4	interval
