onset	duration	trial	value	instruction
9769	6	1	1	rest
15699	1	1	2	ready
16708	6	1	3	task
22713	8	1	4	interval
30743	6	2	1	rest
36718	1	2	2	ready
37721	6	2	3	task
43715	8	2	4	interval
51749	6	3	1	rest
57714	1	3	2	ready
58712	6	3	3	task
64728	8	3	4	interval
72757	6	4	1	rest
78722	1	4	2	ready
79724	6	4	3	task
85731	8	4	4	interval
93754	6	5	1	rest
99728	1	5	2	ready
100732	6	5	3	task
106731	8	5	4	interval
114766	6	6	1	rest
120729	1	6	2	ready
121727	6	6	3	task
127740	8	6	4	interval
135769	6	7	1	rest
141737	1	7	2	ready
142728	6	7	3	task
148728	8	7	4	interval
156761	6	8	1	rest
162735	1	8	2	ready
163732	6	8	3	task
169732	8	8	4	interval
177761	6	9	1	rest
183730	1	9	2	ready
184737	6	9	3	task
190733	8	9	4	interval
198774	6	10	1	rest
204736	1	10	2	ready
205749	6	10	3	task
211732	8	10	4	interval
219772	6	11	1	rest
225746	1	11	2	ready
226738	6	11	3	task
232750	8	11	4	interval
240772	6	12	1	rest
246754	1	12	2	ready
247739	6	12	3	task
253733	8	12	4	interval
261773	6	13	1	rest
267752	1	13	2	ready
268747	6	13	3	task
274739	8	13	4	interval
282783	6	14	1	rest
288739	1	14	2	ready
289751	6	14	3	task
295747	8	14	4	interval
303785	6	15	1	rest
309753	1	15	2	ready
310745	6	15	3	task
316755	8	15	4	interval
324788	6	16	1	rest
330754	1	16	2	ready
331758	6	16	3	task
337768	8	16	4	interval
345791	6	17	1	rest
351759	1	17	2	ready
352760	6	17	3	task
358782	8	17	4	interval
366792	6	18	1	rest
372767	1	18	2	ready
373767	6	18	3	task
379757	8	18	4	interval
387792	6	19	1	rest
393762	1	19	2	ready
394752	6	19	3	task
400763	8	19	4	interval
408799	6	20	1	rest
414761	1	20	2	ready
415768	6	20	3	task
421760	8	20	4	interval
