onset	duration	trial	value	instruction
7854	6	1	1	rest
13787	1	1	2	ready
14788	6	1	3	task
20741	8	1	4	interval
28815	6	2	1	rest
34791	1	2	2	ready
35799	6	2	3	task
41737	8	2	4	interval
49815	6	3	1	rest
55785	1	3	2	ready
56788	6	3	3	task
62732	8	3	4	interval
70825	6	4	1	rest
76785	1	4	2	ready
77785	6	4	3	task
83731	8	4	4	interval
91825	6	5	1	rest
97790	1	5	2	ready
98797	6	5	3	task
104738	8	5	4	interval
112823	6	6	1	rest
118794	1	6	2	ready
119807	6	6	3	task
125736	8	6	4	interval
133828	6	7	1	rest
139791	1	7	2	ready
140809	6	7	3	task
146740	8	7	4	interval
154837	6	8	1	rest
160800	1	8	2	ready
161808	6	8	3	task
167744	8	8	4	interval
175837	6	9	1	rest
181805	1	9	2	ready
182799	6	9	3	task
188747	8	9	4	interval
196833	6	10	1	rest
202801	1	10	2	ready
203813	6	10	3	task
209752	8	10	4	interval
217836	6	11	1	rest
223813	1	11	2	ready
224810	6	11	3	task
230753	8	11	4	interval
238843	6	12	1	rest
244803	1	12	2	ready
245825	6	12	3	task
251756	8	12	4	interval
259838	6	13	1	rest
265811	1	13	2	ready
266819	6	13	3	task
272756	8	13	4	interval
280837	6	14	1	rest
286810	1	14	2	ready
287810	6	14	3	task
293754	8	14	4	interval
301843	6	15	1	rest
307808	1	15	2	ready
308823	6	15	3	task
314767	8	15	4	interval
322848	6	16	1	rest
328816	1	16	2	ready
329821	6	16	3	task
335774	8	16	4	interval
343853	6	17	1	rest
349821	1	17	2	ready
350825	6	17	3	task
356764	8	17	4	interval
364857	6	18	1	rest
370825	1	18	2	ready
371826	6	18	3	task
377769	8	18	4	interval
385853	6	19	1	rest
391821	1	19	2	ready
392836	6	19	3	task
398766	8	19	4	interval
406864	6	20	1	rest
412827	1	20	2	ready
413834	6	20	3	task
419770	8	20	4	interval
