onset	duration	trial	value	instruction
4376	6	1	1	rest
10317	1	1	2	ready
11319	6	1	3	task
17319	8	1	4	interval
25359	6	2	1	rest
31334	1	2	2	ready
32326	6	2	3	task
38324	8	2	4	interval
46361	6	3	1	rest
52328	1	3	2	ready
53331	6	3	3	task
59324	8	3	4	interval
67360	6	4	1	rest
73331	1	4	2	ready
74322	6	4	3	task
80336	8	4	4	interval
88371	6	5	1	rest
94335	1	5	2	ready
95332	6	5	3	task
101340	8	5	4	interval
109366	6	6	1	rest
115342	1	6	2	ready
116331	6	6	3	task
122345	8	6	4	interval
130371	6	7	1	rest
136339	1	7	2	ready
137345	6	7	3	task
143342	8	7	4	interval
151376	6	8	1	rest
157339	1	8	2	ready
158356	6	8	3	task
164343	8	8	4	interval
172386	6	9	1	rest
178356	1	9	2	ready
179349	6	9	3	task
185348	8	9	4	interval
193383	6	10	1	rest
199354	1	10	2	ready
200349	6	10	3	task
206349	8	10	4	interval
214387	6	11	1	rest
220350	1	11	2	ready
221355	6	11	3	task
227343	8	11	4	interval
235393	6	12	1	rest
241363	1	12	2	ready
242352	6	12	3	task
248351	8	12	4	interval
256400	6	13	1	rest
262352	1	13	2	ready
263356	6	13	3	task
269351	8	13	4	interval
277405	6	14	1	rest
283358	1	14	2	ready
284355	6	14	3	task
290365	8	14	4	interval
298397	6	15	1	rest
304353	1	15	2	ready
305356	6	15	3	task
311356	8	15	4	interval
319402	6	16	1	rest
325352	1	16	2	ready
326358	6	16	3	task
332358	8	16	4	interval
340404	6	17	1	rest
346364	1	17	2	ready
347359	6	17	3	task
353368	8	17	4	interval
361405	6	18	1	rest
367371	1	18	2	ready
368364	6	18	3	task
374366	8	18	4	interval
382405	6	19	1	rest
388368	1	19	2	ready
389369	6	19	3	task
395376	8	19	4	interval
403420	6	20	1	rest
409370	1	20	2	ready
410372	6	20	3	task
416370	8	20	4	interval
